city,region,country,month,high_temp_F,low_temp_F,mean_temp_F,precipitation_in,humidity_percent,dew_point_F,wind_mph,pressure_Hg,visibility_mi
Guatemala City,,Guatemala,May,80.0,63.0,72.0,4.61,77.0,62.0,15.0,30.04,6.0
Guatemala City,,Guatemala,June,77.0,63.0,70.0,7.25,83.0,62.0,14.0,30.05,7.0
Guatemala City,,Guatemala,July,77.0,63.0,70.0,5.62,79.0,61.0,19.0,30.09,8.0
Guatemala City,,Guatemala,August,78.0,63.0,70.0,7.06,80.0,62.0,17.0,30.07,7.0
Guatemala City,,Guatemala,September,77.0,63.0,70.0,7.35,84.0,62.0,13.0,30.05,7.0
Guatemala City,,Guatemala,October,76.0,62.0,69.0,4.92,82.0,61.0,17.0,30.04,7.0
Guatemala City,,Guatemala,November,75.0,59.0,67.0,1.44,77.0,58.0,23.0,30.07,8.0
Guatemala City,,Guatemala,December,75.0,57.0,66.0,0.37,75.0,56.0,23.0,30.1,8.0
New Orleans,Louisiana,USA,January,62.0,48.0,55.0,4.63,74.0,46.0,20.0,30.15,9.0
New Orleans,Louisiana,USA,February,66.0,51.0,59.0,4.2,74.0,49.0,21.0,30.11,9.0
New Orleans,Louisiana,USA,March,73.0,58.0,65.0,4.84,73.0,55.0,20.0,30.07,9.0
New Orleans,Louisiana,USA,April,79.0,64.0,71.0,5.44,70.0,60.0,21.0,30.01,9.0
New Orleans,Louisiana,USA,May,86.0,71.0,78.0,5.15,70.0,67.0,18.0,29.99,9.0
New Orleans,Louisiana,USA,June,90.0,77.0,84.0,6.49,71.0,72.0,16.0,29.97,9.0
New Orleans,Louisiana,USA,July,92.0,79.0,85.0,6.28,73.0,74.0,15.0,30.02,10.0
New Orleans,Louisiana,USA,August,92.0,79.0,85.0,6.58,72.0,74.0,15.0,29.98,9.0
New Orleans,Louisiana,USA,September,88.0,76.0,82.0,4.95,72.0,71.0,17.0,29.97,9.0
New Orleans,Louisiana,USA,October,81.0,67.0,74.0,3.63,72.0,63.0,19.0,30.03,9.0
New Orleans,Louisiana,USA,November,71.0,57.0,64.0,3.59,73.0,54.0,19.0,30.12,9.0
New Orleans,Louisiana,USA,December,65.0,50.0,58.0,4.52,76.0,49.0,20.0,30.13,9.0
Algiers,,Algeria,January,63.0,42.0,52.0,3.12,80.0,44.0,10.0,30.17,7.0
Algiers,,Algeria,February,64.0,42.0,53.0,2.83,78.0,45.0,10.0,30.15,7.0
Algiers,,Algeria,March,67.0,45.0,56.0,2.48,77.0,48.0,11.0,30.08,7.0
Algiers,,Algeria,April,71.0,49.0,60.0,2.24,76.0,52.0,12.0,29.99,7.0
Algiers,,Algeria,May,77.0,55.0,66.0,1.65,74.0,57.0,12.0,30.0,7.0
Algiers,,Algeria,June,84.0,61.0,73.0,0.36,71.0,62.0,12.0,30.01,6.0
Algiers,,Algeria,July,89.0,67.0,78.0,0.08,69.0,66.0,12.0,29.98,6.0
Algiers,,Algeria,August,91.0,69.0,80.0,0.38,69.0,68.0,11.0,29.98,6.0
Algiers,,Algeria,September,85.0,64.0,75.0,1.17,72.0,64.0,11.0,30.01,7.0
Algiers,,Algeria,October,80.0,57.0,68.0,1.85,74.0,58.0,9.0,30.05,7.0
Algiers,,Algeria,November,70.0,50.0,60.0,4.31,78.0,51.0,10.0,30.07,7.0
Algiers,,Algeria,December,65.0,44.0,54.0,3.61,80.0,47.0,9.0,30.16,7.0
Halifax,Nova Scotia,Canada,January,31.0,15.0,23.0,5.09,83.0,18.0,22.0,29.91,11.0
Halifax,Nova Scotia,Canada,February,32.0,15.0,23.0,4.79,79.0,18.0,22.0,29.91,11.0
Halifax,Nova Scotia,Canada,March,38.0,22.0,30.0,4.64,76.0,23.0,22.0,29.94,11.0
Halifax,Nova Scotia,Canada,April,48.0,31.0,40.0,4.38,76.0,31.0,22.0,29.93,11.0
Halifax,Nova Scotia,Canada,May,60.0,40.0,50.0,3.82,76.0,41.0,19.0,29.98,11.0
Halifax,Nova Scotia,Canada,June,69.0,49.0,59.0,4.12,78.0,51.0,18.0,29.94,11.0
Halifax,Nova Scotia,Canada,July,76.0,57.0,66.0,3.39,80.0,59.0,16.0,29.95,11.0
Halifax,Nova Scotia,Canada,August,76.0,57.0,66.0,3.06,79.0,58.0,15.0,29.99,12.0
Halifax,Nova Scotia,Canada,September,68.0,50.0,59.0,4.55,81.0,53.0,17.0,30.04,12.0
Halifax,Nova Scotia,Canada,October,57.0,40.0,49.0,5.2,82.0,43.0,19.0,30.0,13.0
Halifax,Nova Scotia,Canada,November,46.0,32.0,39.0,5.85,83.0,34.0,20.0,30.01,12.0
Halifax,Nova Scotia,Canada,December,37.0,22.0,30.0,6.09,85.0,25.0,22.0,29.94,11.0
New York,New York,USA,January,40.0,28.0,34.0,3.61,60.0,21.0,13.0,30.07,9.0
New York,New York,USA,February,42.0,29.0,36.0,3.37,57.0,21.0,13.0,30.06,9.0
New York,New York,USA,March,50.0,35.0,43.0,4.25,57.0,27.0,12.0,30.06,9.0
New York,New York,USA,April,62.0,45.0,53.0,4.06,56.0,36.0,11.0,30.0,9.0
New York,New York,USA,May,71.0,54.0,63.0,4.02,62.0,48.0,8.0,30.0,9.0
New York,New York,USA,June,80.0,64.0,72.0,4.5,65.0,59.0,7.0,29.96,9.0
New York,New York,USA,July,85.0,70.0,77.0,4.83,65.0,64.0,6.0,29.96,9.0
New York,New York,USA,August,84.0,69.0,76.0,4.62,66.0,63.0,6.0,30.0,9.0
New York,New York,USA,September,76.0,62.0,69.0,4.53,67.0,57.0,7.0,30.06,9.0
New York,New York,USA,October,65.0,51.0,58.0,4.48,66.0,46.0,8.0,30.06,9.0
New York,New York,USA,November,54.0,41.0,48.0,3.56,62.0,35.0,10.0,30.11,9.0
New York,New York,USA,December,45.0,33.0,39.0,4.27,62.0,27.0,11.0,30.09,9.0
Almaty,,Kazakhstan,January,33.0,15.0,24.0,1.2,83.0,16.0,6.0,30.33,3.0
Almaty,,Kazakhstan,February,37.0,20.0,29.0,1.46,81.0,21.0,7.0,30.26,3.0
Almaty,,Kazakhstan,March,50.0,31.0,41.0,2.24,72.0,31.0,8.0,30.15,5.0
Almaty,,Kazakhstan,April,64.0,43.0,54.0,3.12,61.0,39.0,9.0,30.06,6.0
Almaty,,Kazakhstan,May,74.0,52.0,63.0,3.27,57.0,47.0,9.0,29.95,7.0
Almaty,,Kazakhstan,June,83.0,60.0,71.0,1.98,50.0,51.0,9.0,29.78,7.0
Almaty,,Kazakhstan,July,87.0,64.0,76.0,1.8,45.0,52.0,9.0,29.7,7.0
Almaty,,Kazakhstan,August,86.0,62.0,74.0,1.15,45.0,49.0,8.0,29.78,7.0
Almaty,,Kazakhstan,September,77.0,52.0,64.0,0.85,47.0,42.0,8.0,29.98,7.0
Almaty,,Kazakhstan,October,63.0,40.0,51.0,1.44,63.0,36.0,7.0,30.19,6.0
Almaty,,Kazakhstan,November,47.0,29.0,38.0,1.78,78.0,28.0,7.0,30.3,4.0
Almaty,,Kazakhstan,December,36.0,20.0,28.0,1.47,84.0,20.0,6.0,30.36,3.0
Hanoi,,Vietnam,January,68.0,58.0,63.0,1.53,76.0,55.0,11.0,30.09,4.0
Hanoi,,Vietnam,February,71.0,61.0,66.0,0.85,76.0,58.0,13.0,30.04,4.0
Hanoi,,Vietnam,March,76.0,67.0,71.0,2.15,82.0,65.0,13.0,29.93,4.0
Hanoi,,Vietnam,April,83.0,72.0,77.0,4.34,81.0,70.0,14.0,29.85,5.0
Hanoi,,Vietnam,May,91.0,78.0,84.0,7.3,78.0,76.0,14.0,29.72,5.0
Hanoi,,Vietnam,June,94.0,80.0,87.0,7.71,74.0,77.0,12.0,29.62,5.0
Hanoi,,Vietnam,July,93.0,80.0,86.0,11.77,77.0,77.0,12.0,29.62,6.0
Hanoi,,Vietnam,August,91.0,79.0,85.0,15.01,81.0,77.0,11.0,29.63,5.0
Hanoi,,Vietnam,September,90.0,77.0,84.0,9.6,78.0,75.0,10.0,29.77,5.0
Hanoi,,Vietnam,October,85.0,73.0,79.0,6.23,72.0,68.0,11.0,29.92,5.0
Hanoi,,Vietnam,November,79.0,68.0,73.0,1.82,72.0,63.0,11.0,30.0,5.0
Hanoi,,Vietnam,December,71.0,59.0,65.0,1.11,68.0,54.0,11.0,30.1,4.0
Oslo,,Norway,January,32.0,24.0,28.0,2.3,85.0,24.0,11.0,29.81,21.0
Oslo,,Norway,February,35.0,26.0,30.0,2.05,82.0,25.0,11.0,29.87,22.0
Oslo,,Norway,March,44.0,30.0,37.0,1.48,69.0,26.0,12.0,29.9,28.0
Oslo,,Norway,April,53.0,35.0,44.0,1.73,57.0,28.0,13.0,29.92,32.0
Oslo,,Norway,May,63.0,45.0,54.0,2.7,63.0,39.0,13.0,29.93,29.0
Oslo,,Norway,June,70.0,52.0,61.0,3.46,64.0,47.0,12.0,29.89,30.0
Oslo,,Norway,July,74.0,56.0,65.0,3.33,65.0,52.0,11.0,29.86,32.0
Oslo,,Norway,August,70.0,54.0,62.0,3.91,72.0,52.0,11.0,29.88,31.0
Oslo,,Norway,September,63.0,48.0,55.0,3.52,75.0,47.0,11.0,29.92,30.0
Oslo,,Norway,October,51.0,40.0,45.0,3.94,81.0,39.0,12.0,29.9,28.0
Oslo,,Norway,November,41.0,33.0,37.0,3.24,86.0,33.0,11.0,29.83,24.0
Oslo,,Norway,December,35.0,27.0,31.0,3.11,87.0,27.0,10.0,29.77,22.0
Amman,,Jordan,January,55.0,40.0,48.0,2.56,71.0,37.0,11.0,30.08,4.0
Amman,,Jordan,February,58.0,42.0,50.0,2.3,68.0,37.0,12.0,30.04,4.0
Amman,,Jordan,March,64.0,46.0,55.0,1.95,60.0,39.0,12.0,29.97,4.0
Amman,,Jordan,April,74.0,52.0,63.0,1.16,47.0,39.0,12.0,29.9,4.0
Amman,,Jordan,May,83.0,60.0,72.0,1.44,39.0,43.0,13.0,29.83,4.0
Amman,,Jordan,June,88.0,66.0,77.0,1.1,39.0,48.0,14.0,29.76,4.0
Amman,,Jordan,July,91.0,70.0,81.0,0.61,40.0,52.0,15.0,29.68,4.0
Amman,,Jordan,August,91.0,70.0,81.0,1.73,45.0,55.0,12.0,29.71,4.0
Amman,,Jordan,September,88.0,66.0,77.0,0.92,50.0,54.0,10.0,29.82,4.0
Amman,,Jordan,October,81.0,60.0,71.0,0.58,51.0,49.0,8.0,29.93,4.0
Amman,,Jordan,November,69.0,51.0,60.0,1.13,59.0,42.0,8.0,30.03,4.0
Amman,,Jordan,December,59.0,44.0,51.0,1.51,68.0,39.0,9.0,30.1,4.0
Harare,,Zimbabwe,January,80.0,62.0,71.0,6.86,75.0,61.0,12.0,29.97,11.0
Harare,,Zimbabwe,February,80.0,62.0,71.0,5.28,75.0,61.0,12.0,29.99,11.0
Harare,,Zimbabwe,March,80.0,60.0,70.0,3.8,73.0,59.0,12.0,30.03,11.0
Harare,,Zimbabwe,April,78.0,56.0,67.0,1.4,67.0,54.0,12.0,30.1,11.0
Harare,,Zimbabwe,May,75.0,50.0,63.0,0.72,60.0,47.0,11.0,30.16,11.0
Harare,,Zimbabwe,June,71.0,47.0,59.0,0.34,59.0,43.0,12.0,30.22,11.0
Harare,,Zimbabwe,July,71.0,46.0,58.0,0.07,57.0,41.0,13.0,30.24,10.0
Harare,,Zimbabwe,August,76.0,49.0,63.0,0.06,49.0,41.0,14.0,30.17,8.0
Harare,,Zimbabwe,September,82.0,55.0,69.0,0.09,44.0,43.0,16.0,30.1,6.0
Harare,,Zimbabwe,October,85.0,59.0,72.0,1.03,48.0,49.0,17.0,30.04,8.0
Harare,,Zimbabwe,November,84.0,62.0,73.0,3.11,59.0,55.0,16.0,30.01,10.0
Harare,,Zimbabwe,December,81.0,62.0,71.0,7.17,72.0,60.0,13.0,29.99,10.0
Ottawa,Ontario,Canada,January,23.0,6.0,15.0,2.64,75.0,8.0,17.0,30.03,12.0
Ottawa,Ontario,Canada,February,26.0,9.0,17.0,2.14,70.0,10.0,17.0,30.03,12.0
Ottawa,Ontario,Canada,March,36.0,20.0,28.0,2.51,66.0,18.0,17.0,30.03,13.0
Ottawa,Ontario,Canada,April,52.0,33.0,42.0,3.11,61.0,29.0,18.0,29.97,15.0
Ottawa,Ontario,Canada,May,67.0,45.0,56.0,2.96,62.0,42.0,16.0,29.97,15.0
Ottawa,Ontario,Canada,June,76.0,55.0,66.0,3.91,69.0,54.0,14.0,29.92,14.0
Ottawa,Ontario,Canada,July,80.0,60.0,70.0,3.76,70.0,59.0,13.0,29.92,15.0
Ottawa,Ontario,Canada,August,79.0,58.0,68.0,3.21,73.0,58.0,12.0,29.98,14.0
Ottawa,Ontario,Canada,September,70.0,50.0,60.0,3.41,75.0,52.0,13.0,30.03,14.0
Ottawa,Ontario,Canada,October,56.0,39.0,47.0,3.42,76.0,39.0,15.0,30.02,14.0
Ottawa,Ontario,Canada,November,42.0,27.0,35.0,2.77,77.0,28.0,16.0,30.04,13.0
Ottawa,Ontario,Canada,December,30.0,16.0,23.0,2.86,79.0,17.0,17.0,30.03,11.0
Amsterdam,,Netherlands,January,44.0,34.0,39.0,2.73,88.0,36.0,24.0,30.0,7.0
Amsterdam,,Netherlands,February,45.0,34.0,40.0,2.34,86.0,36.0,23.0,30.0,7.0
Amsterdam,,Netherlands,March,50.0,37.0,44.0,2.14,82.0,38.0,22.0,30.0,7.0
Amsterdam,,Netherlands,April,57.0,41.0,49.0,1.64,76.0,41.0,19.0,29.97,9.0
Amsterdam,,Netherlands,May,64.0,47.0,56.0,2.47,75.0,47.0,19.0,29.99,10.0
Amsterdam,,Netherlands,June,69.0,53.0,61.0,2.73,76.0,53.0,18.0,30.02,10.0
Amsterdam,,Netherlands,July,72.0,56.0,64.0,3.08,78.0,57.0,17.0,29.98,10.0
Amsterdam,,Netherlands,August,72.0,56.0,64.0,4.05,79.0,57.0,17.0,29.97,10.0
Amsterdam,,Netherlands,September,67.0,52.0,59.0,3.06,82.0,53.0,17.0,30.0,9.0
Amsterdam,,Netherlands,October,59.0,46.0,52.0,3.55,85.0,48.0,20.0,29.96,8.0
Amsterdam,,Netherlands,November,50.0,40.0,45.0,3.3,89.0,42.0,20.0,29.93,7.0
Amsterdam,,Netherlands,December,45.0,35.0,40.0,3.23,89.0,38.0,22.0,29.96,7.0
Havana,,Cuba,January,79.0,61.0,70.0,1.28,78.0,62.0,14.0,30.09,5.0
Havana,,Cuba,February,81.0,62.0,72.0,1.16,77.0,63.0,14.0,30.07,5.0
Havana,,Cuba,March,83.0,63.0,73.0,1.1,74.0,63.0,15.0,30.05,5.0
Havana,,Cuba,April,86.0,67.0,76.0,1.28,72.0,66.0,15.0,30.01,5.0
Havana,,Cuba,May,88.0,70.0,79.0,3.12,76.0,70.0,13.0,29.98,5.0
Havana,,Cuba,June,89.0,73.0,81.0,4.57,81.0,73.0,11.0,30.0,5.0
Havana,,Cuba,July,90.0,73.0,82.0,3.95,80.0,73.0,11.0,30.03,5.0
Havana,,Cuba,August,90.0,73.0,82.0,4.78,81.0,74.0,10.0,29.99,5.0
Havana,,Cuba,September,89.0,73.0,81.0,5.12,83.0,74.0,10.0,29.95,5.0
Havana,,Cuba,October,86.0,71.0,79.0,4.53,82.0,72.0,12.0,29.95,5.0
Havana,,Cuba,November,83.0,66.0,74.0,2.37,80.0,67.0,13.0,30.02,5.0
Havana,,Cuba,December,81.0,63.0,72.0,1.36,80.0,65.0,13.0,30.07,5.0
Paris,Paris,France,January,45.0,35.0,40.0,1.84,87.0,37.0,16.0,30.05,6.0
Paris,Paris,France,February,47.0,35.0,41.0,1.74,78.0,34.0,17.0,30.05,6.0
Paris,Paris,France,March,54.0,39.0,46.0,1.67,72.0,37.0,16.0,30.03,6.0
Paris,Paris,France,April,61.0,42.0,51.0,1.35,65.0,39.0,15.0,29.99,8.0
Paris,Paris,France,May,66.0,46.0,56.0,2.79,71.0,47.0,15.0,30.0,8.0
Paris,Paris,France,June,74.0,53.0,64.0,2.43,70.0,53.0,14.0,30.02,8.0
Paris,Paris,France,July,79.0,58.0,68.0,1.57,64.0,55.0,14.0,30.02,9.0
Paris,Paris,France,August,78.0,56.0,67.0,1.77,66.0,55.0,13.0,30.02,9.0
Paris,Paris,France,September,71.0,51.0,61.0,1.81,71.0,52.0,12.0,30.06,8.0
Paris,Paris,France,October,61.0,47.0,54.0,2.13,82.0,49.0,14.0,30.02,7.0
Paris,Paris,France,November,51.0,40.0,46.0,2.1,87.0,42.0,14.0,29.99,6.0
Paris,Paris,France,December,48.0,37.0,42.0,2.54,88.0,39.0,16.0,30.08,6.0
Anadyr,,Russia,January,-1.0,-15.0,-8.0,1.61,81.0,-12.0,26.0,29.99,13.0
Anadyr,,Russia,February,1.0,-13.0,-6.0,1.84,81.0,-10.0,28.0,29.95,12.0
Anadyr,,Russia,March,6.0,-8.0,-1.0,1.46,81.0,-5.0,26.0,30.03,14.0
Anadyr,,Russia,April,18.0,4.0,11.0,0.93,82.0,7.0,22.0,30.0,15.0
Anadyr,,Russia,May,36.0,25.0,31.0,0.47,82.0,26.0,21.0,29.95,14.0
Anadyr,,Russia,June,53.0,39.0,46.0,0.6,75.0,38.0,23.0,29.86,15.0
Anadyr,,Russia,July,61.0,48.0,54.0,1.45,78.0,47.0,23.0,29.81,15.0
Anadyr,,Russia,August,57.0,45.0,51.0,1.76,80.0,45.0,22.0,29.82,14.0
Anadyr,,Russia,September,47.0,36.0,42.0,1.3,79.0,36.0,21.0,29.83,14.0
Anadyr,,Russia,October,30.0,21.0,25.0,1.06,85.0,21.0,24.0,29.85,13.0
Anadyr,,Russia,November,17.0,5.0,11.0,1.31,85.0,7.0,30.0,29.85,12.0
Anadyr,,Russia,December,4.0,-10.0,-3.0,1.38,82.0,-7.0,29.0,29.9,12.0
Helsinki,,Finland,January,31.0,21.0,26.0,1.95,89.0,23.0,15.0,29.83,6.0
Helsinki,,Finland,February,30.0,19.0,25.0,1.54,87.0,21.0,14.0,29.87,6.0
Helsinki,,Finland,March,36.0,24.0,30.0,1.26,80.0,24.0,14.0,29.87,7.0
Helsinki,,Finland,April,47.0,32.0,40.0,1.22,70.0,30.0,14.0,29.92,7.0
Helsinki,,Finland,May,59.0,41.0,50.0,1.36,64.0,38.0,14.0,29.95,8.0
Helsinki,,Finland,June,67.0,50.0,58.0,1.95,68.0,48.0,14.0,29.88,8.0
Helsinki,,Finland,July,72.0,56.0,64.0,2.12,71.0,54.0,13.0,29.87,8.0
Helsinki,,Finland,August,69.0,53.0,61.0,3.02,76.0,53.0,12.0,29.9,7.0
